"FROM Port","TO Port","Band","Fiber Type","Fiber Length(Km)","Design Span Loss(dB)","Measured Span Loss(dB)","Min Span Loss(dB)","Max Span Loss(dB)","Commissioned Span Loss(db)","Egress Min Gain(dB)","Egress Max Gain(dB)","Egress Gain(dB)","Target Gain(db)","Achieved Gain(db)","Ingress Min Gain(db)","Ingress Max Gain(db)","Ingress Gain(db)","Fiber Loss (dB)","Egress Power out","Ingress Power In","Physical Conn Id","Port ID"
"PO5-10th_Ramdan-1/ASWG-1-4-LINEOUT","PO5-Ismailia-1/RA2P-3-2-LINEIN","C","SSMF","76","11.53","14.94","11.33","20.53","12.63","18.07","18.07","18.07","07.67","05.97","13.00","25.10","15.85","21.22","10.97","-04.28","141","3259"
"PO5-Ismailia-1/ASWG-3-4-LINEOUT","PO5-10th_Ramdan-1/RA2P-1-2-LINEIN","C","SSMF","76","11.53","18.16","11.33","20.53","10.74","18.07","18.07","18.07","07.68","07.07","13.00","22.00","20.64","25.28","10.80","-07.41","141","4940"
