"FROM Port","TO Port","Band","Fiber Type","Fiber Length(Km)","Design Span Loss(dB)","Measured Span Loss(dB)","Min Span Loss(dB)","Max Span Loss(dB)","Commissioned Span Loss(db)","Egress Min Gain(dB)","Egress Max Gain(dB)","Egress Gain(dB)","Target Gain(db)","Achieved Gain(db)","Ingress Min Gain(db)","Ingress Max Gain(db)","Ingress Gain(db)","Fiber Loss (dB)","Egress Power out","Ingress Power In","Physical Conn Id","Port ID"
"PO5-10th_Ramdan-1/ASWG-3-3-LINEOUT","PO26-ZAG_E-1/ASWG-2-2-LINEIN","C","SSMF","65","21.00","15.10","20.00","26.00","-99.00","21.46","21.46","21.46","N.A.","N.A.","16.00","26.00","16.00","15.54","10.81","-04.73","35327","17111"
"PO26-ZAG_E-1/ASWG-2-3-LINEOUT","PO5-10th_Ramdan-1/ASWG-3-2-LINEIN","C","SSMF","65","21.00","15.60","20.00","26.00","-99.00","23.29","23.29","23.29","N.A.","N.A.","16.00","26.00","16.00","15.92","10.90","-05.02","35327","17231"
