"FROM Port","TO Port","Band","Fiber Type","Fiber Length(Km)","Design Span Loss(dB)","Measured Span Loss(dB)","Min Span Loss(dB)","Max Span Loss(dB)","Commissioned Span Loss(db)","Egress Min Gain(dB)","Egress Max Gain(dB)","Egress Gain(dB)","Target Gain(db)","Achieved Gain(db)","Ingress Min Gain(db)","Ingress Max Gain(db)","Ingress Gain(db)","Fiber Loss (dB)","Egress Power out","Ingress Power In","Physical Conn Id","Port ID"
"PO5-Amrya-1/AM2625A-1-14-LINEOUT","PO5-Damnhour-1/RA2P-1-12-LINEIN","C","SSMF","110","23.81","23.49","23.61","32.81","-99.00","22.04","22.04","22.04","09.00","07.94","15.00","27.31","18.45","31.63","24.79","01.10","192","3487"
"PO5-Damnhour-1/AM2625A-1-14-LINEOUT","PO5-Amrya-1/RA2P-1-12-LINEIN","C","SSMF","110","23.83","24.88","23.63","32.83","-99.00","22.04","22.04","22.04","09.00","06.55","15.00","27.33","20.51","30.95","24.63","00.23","192","4609"
